match_days,match_href,match_title,match_result,match_ground,match_location
1990-12-25,https://www.cricbuzz.com/cricket-scores/7321/vs-1st-match-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs BANGLADESH, 1st Match",India won by 9 wickets (with 79 balls remaining),Sector 16 Stadium,Chandigarh
1990-12-25,https://www.cricbuzz.com/cricket-scores/7321/vs-1st-match-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs BANGLADESH, 1st Match",India won by 9 wickets (with 79 balls remaining),Sector 16 Stadium,Chandigarh
1990-12-28,https://www.cricbuzz.com/cricket-scores/7322/vs-2nd-match-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs SRI LANKA, 2nd Match",Sri Lanka won by 36 runs,Barabati Stadium,Cuttack
1990-12-31,https://www.cricbuzz.com/cricket-scores/7323/vs-3rd-match-bangladesh-india-sri-lanka-in-india-1990,"BANGLADESH vs SRI LANKA, 3rd Match",Sri Lanka won by 71 runs,Eden Gardens,Kolkata
1991-01-04,https://www.cricbuzz.com/cricket-scores/7324/vs-final-bangladesh-india-sri-lanka-in-india-1990,"INDIA vs SRI LANKA, Final",India won by 7 wickets (with 17 balls remaining),Eden Gardens,Kolkata
1990-12-20,https://www.cricbuzz.com/cricket-scores/7319/vs-1st-odi-pakistan-sri-lanka-in-united-arab-emirates-1990,"PAKISTAN vs SRI LANKA, 1st ODI",Sri Lanka won by 6 wickets (with 31 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-12-20,https://www.cricbuzz.com/cricket-scores/7319/vs-1st-odi-pakistan-sri-lanka-in-united-arab-emirates-1990,"PAKISTAN vs SRI LANKA, 1st ODI",Sri Lanka won by 6 wickets (with 31 balls remaining),Sharjah Cricket Association Stadium,Sharjah
1990-12-21,https://www.cricbuzz.com/cricket-scores/7320/vs-2nd-odi-pakistan-sri-lanka-in-united-arab-emirates-1990,"PAKISTAN vs SRI LANKA, 2nd ODI",Pakistan won by 50 runs,Sharjah Cricket Association Stadium,Sharjah
1990-12-01,https://www.cricbuzz.com/cricket-scores/7316/vs-1st-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 1st ODI",India won by 19 runs,Vidarbha Cricket Association Ground,Nagpur
1990-12-01,https://www.cricbuzz.com/cricket-scores/7316/vs-1st-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 1st ODI",India won by 19 runs,Vidarbha Cricket Association Ground,Nagpur
1990-12-05,https://www.cricbuzz.com/cricket-scores/7317/vs-2nd-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 2nd ODI",India won by 6 wickets (with 21 balls remaining),Nehru Stadium,Pune
1990-12-08,https://www.cricbuzz.com/cricket-scores/7318/vs-3rd-odi-sri-lanka-in-india-odi-series-1990,"INDIA vs SRI LANKA, 3rd ODI",Sri Lanka won by 7 wickets (with 103 balls remaining),Nehru Stadium,Margao
1990-11-29,https://www.cricbuzz.com/cricket-scores/7325/vs-1st-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 1st Match",Australia won by 61 runs (revised target),Sydney Cricket Ground,Sydney
1990-11-29,https://www.cricbuzz.com/cricket-scores/7325/vs-1st-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 1st Match",Australia won by 61 runs (revised target),Sydney Cricket Ground,Sydney
1990-12-01,https://www.cricbuzz.com/cricket-scores/7326/vs-2nd-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 2nd Match",New Zealand won by 7 runs,Adelaide Oval,Adelaide
1990-12-02,https://www.cricbuzz.com/cricket-scores/7327/vs-3rd-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 3rd Match",Australia won by 6 wickets (with 18 balls remaining),Adelaide Oval,Adelaide
1990-12-07,https://www.cricbuzz.com/cricket-scores/7328/vs-4th-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 4th Match",England won by 4 wickets (with 37 balls remaining),W.A.C.A. Ground,Perth
1990-12-09,https://www.cricbuzz.com/cricket-scores/7329/vs-5th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 5th Match",Australia won by 6 wickets (with 54 balls remaining),W.A.C.A. Ground,Perth
1990-12-11,https://www.cricbuzz.com/cricket-scores/7330/vs-6th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 6th Match",Australia won by 39 runs,Melbourne Cricket Ground,Melbourne
1990-12-13,https://www.cricbuzz.com/cricket-scores/7331/vs-7th-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 7th Match",England won by 33 runs,Sydney Cricket Ground,Sydney
1990-12-15,https://www.cricbuzz.com/cricket-scores/7332/vs-8th-match-australia-england-new-zealand-in-australia-1990-91,"ENGLAND vs NEW ZEALAND, 8th Match",New Zealand won by 8 wickets (with 33 balls remaining),The Gabba,Brisbane
1990-12-16,https://www.cricbuzz.com/cricket-scores/7333/vs-9th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 9th Match",Australia won by 37 runs,The Gabba,Brisbane
1990-12-18,https://www.cricbuzz.com/cricket-scores/7334/vs-10th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 10th Match",New Zealand won by 1 run,Bellerive Oval,Hobart
1991-01-01,https://www.cricbuzz.com/cricket-scores/7335/vs-11th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 11th Match",Australia won by 68 runs,Sydney Cricket Ground,Sydney
1991-01-10,https://www.cricbuzz.com/cricket-scores/7336/vs-12th-match-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 12th Match",Australia won by 3 runs,Melbourne Cricket Ground,Melbourne
1991-01-13,https://www.cricbuzz.com/cricket-scores/7337/vs-1st-final-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 1st Final",Australia won by 6 wickets (with 5 balls remaining),Sydney Cricket Ground,Sydney
1991-01-15,https://www.cricbuzz.com/cricket-scores/7338/vs-2nd-final-australia-england-new-zealand-in-australia-1990-91,"AUSTRALIA vs NEW ZEALAND, 2nd Final",Australia won by 7 wickets (with 27 balls remaining),Melbourne Cricket Ground,Melbourne
1990-11-23 | 1990-11-27,https://www.cricbuzz.com/cricket-scores/7461/vs-only-test-sri-lanka-in-india-test-match-1990,"INDIA vs SRI LANKA, Only Test",India won by an innings and 8 runs,Sector 16 Stadium,Chandigarh
1990-11-23 | 1990-11-27,https://www.cricbuzz.com/cricket-scores/7461/vs-only-test-sri-lanka-in-india-test-match-1990,"INDIA vs SRI LANKA, Only Test",India won by an innings and 8 runs,Sector 16 Stadium,Chandigarh
1990-11-23 | 1990-11-25,https://www.cricbuzz.com/cricket-scores/7465/vs-1st-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1990-11-23 | 1990-11-25,https://www.cricbuzz.com/cricket-scores/7465/vs-1st-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1990-12-26 | 1990-12-30,https://www.cricbuzz.com/cricket-scores/7466/vs-2nd-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 2nd Test",Australia won by 8 wickets,Melbourne Cricket Ground,Melbourne
1991-01-04 | 1991-01-08,https://www.cricbuzz.com/cricket-scores/7467/vs-3rd-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 3rd Test",Match drawn,Sydney Cricket Ground,Sydney
1991-01-25 | 1991-01-29,https://www.cricbuzz.com/cricket-scores/7468/vs-4th-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 4th Test",Match drawn,Adelaide Oval,Adelaide
1991-02-01 | 1991-02-05,https://www.cricbuzz.com/cricket-scores/7469/vs-5th-test-england-in-australia-1990-91,"AUSTRALIA vs ENGLAND, 5th Test",Australia won by 9 wickets,W.A.C.A. Ground,Perth
