title,year,duration_text,href
"Bangladesh, India, Sri Lanka in India, 1990 ",1990,Dec 26 - Jan 03,https://www.cricbuzz.com/cricket-series/584/bangladesh-india-sri-lanka-in-india-1990/matches
"Pakistan, Sri Lanka in United Arab Emirates, 1990 ",1990,Dec 21 - Dec 20,https://www.cricbuzz.com/cricket-series/583/pakistan-sri-lanka-in-united-arab-emirates-1990/matches
"Sri Lanka in India ODI Series, 1990 ",1990,Dec 02 - Dec 07,https://www.cricbuzz.com/cricket-series/582/sri-lanka-in-india-odi-series-1990/matches
"Australia, England, New Zealand in Australia, 1990-91 ",1990,Nov 30 - Jan 14,https://www.cricbuzz.com/cricket-series/585/australia-england-new-zealand-in-australia-1990-91/matches
"Sri Lanka in India Test Match, 1990 ",1990,Nov 24 - Nov 26,https://www.cricbuzz.com/cricket-series/1322/sri-lanka-in-india-test-match-1990/matches
"England in Australia, 1990-91 ",1990,Nov 24 - Feb 04,https://www.cricbuzz.com/cricket-series/1324/england-in-australia-1990-91/matches
"West Indies in Pakistan Test Series, 1990 ",1990,Nov 16 - Dec 10,https://www.cricbuzz.com/cricket-series/1323/west-indies-in-pakistan-test-series-1990/matches
"West Indies in Pakistan ODI Series, 1990 ",1990,Nov 10 - Nov 12,https://www.cricbuzz.com/cricket-series/581/west-indies-in-pakistan-odi-series-1990/matches
"New Zealand in Pakistan ODI Series, 1990 ",1990,Nov 03 - Nov 05,https://www.cricbuzz.com/cricket-series/580/new-zealand-in-pakistan-odi-series-1990/matches
"New Zealand in Pakistan Test Series, 1990 ",1990,Oct 11 - Oct 30,https://www.cricbuzz.com/cricket-series/1321/new-zealand-in-pakistan-test-series-1990/matches
"India in England Test Series, 1990 ",1990,Jul 27 - Aug 27,https://www.cricbuzz.com/cricket-series/1320/india-in-england-test-series-1990/matches
"India in England, 1990 ",1990,Jul 19 - Jul 19,https://www.cricbuzz.com/cricket-series/579/india-in-england-1990/matches
"New Zealand in England Test Series, 1990 ",1990,Jun 08 - Jul 09,https://www.cricbuzz.com/cricket-series/1319/new-zealand-in-england-test-series-1990/matches
"New Zealand in England, 1990 ",1990,May 24 - May 24,https://www.cricbuzz.com/cricket-series/578/new-zealand-in-england-1990/matches
"Australia, Bangladesh, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates, 1990 (AUSTRA ",1990,Apr 26 - May 03,https://www.cricbuzz.com/cricket-series/577/australia-bangladesh-india-new-zealand-pakistan-sri-lanka-in-united-arab-emirates-1990-austra/matches
"Australia in New Zealand, 1990 ",1990,Mar 16 - Mar 18,https://www.cricbuzz.com/cricket-series/1317/australia-in-new-zealand-1990/matches
"England in West Indies, 1990 ",1990,Mar 16 - Mar 14,https://www.cricbuzz.com/cricket-series/575/england-in-west-indies-1990/matches
"England in West Indies,1990 ",1990,Mar 15 - Mar 13,https://www.cricbuzz.com/cricket-series/574/england-in-west-indies1990/matches
"Australia, India, New Zealand in New Zealand, 1990 ",1990,Mar 02 - Mar 10,https://www.cricbuzz.com/cricket-series/573/australia-india-new-zealand-in-new-zealand-1990/matches
"England in West Indies, 1990 ",1990,Feb 25 - Apr 15,https://www.cricbuzz.com/cricket-series/1318/england-in-west-indies-1990/matches
"England in West Indies ODI Series, 1990 ",1990,Feb 15 - Apr 02,https://www.cricbuzz.com/cricket-series/576/england-in-west-indies-odi-series-1990/matches
"India in New Zealand Test Series, 1990 ",1990,Feb 03 - Feb 25,https://www.cricbuzz.com/cricket-series/1316/india-in-new-zealand-test-series-1990/matches
"Pakistan in Australia Test Series, 1990 ",1990,Jan 13 - Feb 07,https://www.cricbuzz.com/cricket-series/1315/pakistan-in-australia-test-series-1990/matches
"Sri Lanka in Pakistan Test Series, 1991-92 ",1991,Dec 13 - Jan 06,https://www.cricbuzz.com/cricket-series/1329/sri-lanka-in-pakistan-test-series-1991-92/matches
"Australia, India, West Indies in Australia, 1991 ",1991,Dec 07 - Jan 19,https://www.cricbuzz.com/cricket-series/594/australia-india-west-indies-in-australia-1991/matches
"India in Australia Test Series, 1991-92 ",1991,Nov 30 - Feb 04,https://www.cricbuzz.com/cricket-series/1330/india-in-australia-test-series-1991-92/matches
"West Indies in Pakistan ODI Series, 1991 ",1991,Nov 21 - Nov 23,https://www.cricbuzz.com/cricket-series/592/west-indies-in-pakistan-odi-series-1991/matches
"South Africa in India ODI Series, 1991 ",1991,Nov 11 - Nov 13,https://www.cricbuzz.com/cricket-series/591/south-africa-in-india-odi-series-1991/matches
"India, Pakistan, West Indies in United Arab Emirates, 1991 ",1991,Oct 18 - Oct 24,https://www.cricbuzz.com/cricket-series/590/india-pakistan-west-indies-in-united-arab-emirates-1991/matches
"Sri Lanka in England Test Match, 1991 ",1991,Aug 23 - Aug 26,https://www.cricbuzz.com/cricket-series/1328/sri-lanka-in-england-test-match-1991/matches
"West Indies in England, 1991 ",1991,Jun 07 - Aug 11,https://www.cricbuzz.com/cricket-series/1327/west-indies-in-england-1991/matches
"West Indies in England, 1991 ",1991,May 24 - May 26,https://www.cricbuzz.com/cricket-series/589/west-indies-in-england-1991/matches
"Australia in West Indies, 1991 ",1991,Mar 02 - Apr 30,https://www.cricbuzz.com/cricket-series/1326/australia-in-west-indies-1991/matches
"Australia in West Indies ODI Series, 1991 ",1991,Feb 27 - Mar 19,https://www.cricbuzz.com/cricket-series/588/australia-in-west-indies-odi-series-1991/matches
"England in New Zealand ODI Series, 1991 ",1991,Feb 10 - Feb 15,https://www.cricbuzz.com/cricket-series/587/england-in-new-zealand-odi-series-1991/matches
"Sri Lanka in New Zealand Test Series, 1991 ",1991,Feb 01 - Mar 04,https://www.cricbuzz.com/cricket-series/1325/sri-lanka-in-new-zealand-test-series-1991/matches
"Sri Lanka in New Zealand ODI Series, 1991 ",1991,Jan 27 - Feb 05,https://www.cricbuzz.com/cricket-series/586/sri-lanka-in-new-zealand-odi-series-1991/matches
"Pakistan in New Zealand ODI Series, 1992 ",1992,Dec 27 - Dec 29,https://www.cricbuzz.com/cricket-series/604/pakistan-in-new-zealand-odi-series-1992/matches
"India in South Africa ODI Series, 1992 ",1992,Dec 08 - Dec 18,https://www.cricbuzz.com/cricket-series/603/india-in-south-africa-odi-series-1992/matches
"Australia, Pakistan, West Indies in Australia, 1992-93 ",1992,Dec 05 - Jan 17,https://www.cricbuzz.com/cricket-series/605/australia-pakistan-west-indies-in-australia-1992-93/matches
"New Zealand in Sri Lanka ODI Series, 1992 ",1992,Dec 05 - Dec 12,https://www.cricbuzz.com/cricket-series/602/new-zealand-in-sri-lanka-odi-series-1992/matches
